Location;Parameter;Analytical Method;Calculated Method;Qual;Result;Units;MDL;ML;RL;Sampling Date;Sampling Time;Analysis Date;Analysis Time;Review Priority Indicator;QA Codes;Comments;Facility Name;Report Name;Latitude;Longitude;Receiving Water Body
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;582;mg/L;25,0;25,0;25,0;2011-09-01;00:00:00;2011-09-08;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for September 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;75240;lb/day;;;;2011-11-15;00:00:00;2011-11-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for November 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;582;mg/L;25,0;;25,0;2011-09-30;00:00:00;2011-09-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for September 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;75240;lb/day;;;;2011-11-30;00:00:00;2011-11-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for November 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;446;mg/L;25,0;25,0;25,0;2011-10-01;00:00:00;2011-10-04;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for October 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Daily Discharge;=;81160;lb/day;;;;2011-12-02;00:00:00;2011-12-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for December 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;81160;lb/day;;;;2011-12-31;00:00:00;2011-12-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for December 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;446;mg/L;25,0;;25,0;2011-10-31;00:00:00;2011-10-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for October 2011;;;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;584;mg/L;25,0;25,0;25,0;2011-11-15;00:00:00;2011-11-15;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for November 2011;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;68318;lb/day;;;;2013-01-02;00:00:00;2013-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2013;34,1372;-118,27422;Los Angeles River
R-4;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;604;mg/L;25,0;25,0;25,0;2011-11-15;09:00:00;2011-11-15;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for November 2011;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;51287;lb/day;;;;2018-01-03;00:00:00;2018-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2018;34,1372;-118,27422;Los Angeles River
R-7;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;598;mg/L;25,0;25,0;25,0;2011-11-15;09:15:00;2011-11-15;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for November 2011;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;72237;lb/day;;;;2019-01-03;00:00:00;2019-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2019;34,1372;-118,27422;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;584;mg/L;25,0;;25,0;2011-11-30;00:00:00;2011-11-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for November 2011;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;63659;lb/day;;;;2023-01-03;00:00:00;2023-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2023;34,1372;-118,27422;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;614;mg/L;25,0;25,0;25,0;2011-12-02;00:00:00;2011-12-09;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for December 2011;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;61127;lb/day;;;;2020-01-04;00:00:00;2020-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2020;34,1372;-118,27422;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;614;mg/L;25,0;;25,0;2011-12-31;00:00:00;2011-12-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for December 2011;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;60834;lb/day;;;;2022-01-04;00:00:00;2022-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2022;34,1372;-118,27422;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;580;mg/L;25,0;25,0;25,0;2012-01-04;00:00:00;2012-01-10;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2012;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;64278;lb/day;;;;2015-01-05;00:00:00;2015-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2015;34,1372;-118,27422;Los Angeles River
EFF-001;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;580;mg/L;25,0;;25,0;2012-01-31;00:00:00;2012-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2012;;;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;84369;lb/day;;;;2016-01-05;00:00:00;2016-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2016;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;598;mg/L;25,0;25,0;25,0;2012-02-06;00:00:00;2012-02-09;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;85383;lb/day;;;;2017-01-05;00:00:00;2017-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2017;34,1372;-118,27422;Los Angeles River
RSW-650;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;723;mg/L;25,0;25,0;25,0;2012-02-07;07:20:00;2012-02-09;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2012;34,134833;-118,274533;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;63249;lb/day;;;;2021-01-05;00:00:00;2021-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2021;34,1372;-118,27422;Los Angeles River
RSW-654;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;702;mg/L;25,0;25,0;25,0;2012-02-07;07:40:00;2012-02-09;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2012;34,122833;-118,27045;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;51530;lb/day;;;;2024-01-05;00:00:00;2024-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2024;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;598;mg/L;25,0;;25,0;2012-02-29;00:00:00;2012-02-29;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for February 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;62886;lb/day;;;;2014-01-06;00:00:00;2014-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2014;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;620;mg/L;25,0;25,0;25,0;2012-03-02;00:00:00;2012-03-06;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for March 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;58308;lb/day;;;;2025-01-06;00:00:00;2025-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2025;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;620;mg/L;25,0;;25,0;2012-03-31;00:00:00;2012-03-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for March 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Daily Discharge;=;43336;lb/day;;;;2026-01-06;00:00:00;2026-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2026;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;68318;lb/day;;;;2013-01-31;00:00:00;2013-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2013;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;602;mg/L;25,0;25,0;25,0;2012-04-01;00:00:00;2012-04-03;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for April 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;602;mg/L;25,0;;25,0;2012-04-30;00:00:00;2012-04-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for April 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;62886;lb/day;;;;2014-01-31;00:00:00;2014-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2014;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;608;mg/L;25,0;25,0;25,0;2012-05-01;00:00:00;2012-05-03;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;64278;lb/day;;;;2015-01-31;00:00:00;2015-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2015;34,1372;-118,27422;Los Angeles River
RSW-650;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;706;mg/L;25,0;25,0;25,0;2012-05-01;09:15:00;2012-05-03;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2012;34,134833;-118,274533;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;84369;lb/day;;;;2016-01-31;00:00:00;2016-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2016;34,1372;-118,27422;Los Angeles River
RSW-654;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;680;mg/L;25,0;25,0;25,0;2012-05-01;09:30:00;2012-05-03;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2012;34,122833;-118,27045;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;85383;lb/day;;;;2017-01-31;00:00:00;2017-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2017;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;51287;lb/day;;;;2018-01-31;00:00:00;2018-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2018;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;608;mg/L;25,0;;25,0;2012-05-31;00:00:00;2012-05-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for May 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;72237;lb/day;;;;2019-01-31;00:00:00;2019-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2019;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;686;mg/L;25,0;25,0;25,0;2012-06-02;00:00:00;2012-06-06;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;61127;lb/day;;;;2020-01-31;00:00:00;2020-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2020;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;686;mg/L;25,0;;25,0;2012-06-30;00:00:00;2012-06-30;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for June 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;512;mg/L;25,0;25,0;25,0;2012-07-01;00:00:00;2012-07-02;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;63249;lb/day;;;;2021-01-31;00:00:00;2021-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2021;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;512;mg/L;25,0;;25,0;2012-07-31;00:00:00;2012-07-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for July 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;60834;lb/day;;;;2022-01-31;00:00:00;2022-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2022;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);Standard Method (19th) 2540 C: Total Diss. Solids at 180 deg.;;=;646;mg/L;25,0;25,0;25,0;2012-08-01;00:00:00;2012-08-02;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for August 2012;34,1372;-118,27422;Los Angeles River
EFF-001A;Total Dissolved Solids (TDS);;Monthly Average (Mean);=;63659;lb/day;;;;2023-01-31;00:00:00;2023-01-31;00:00:00;;;;Los Angeles-Glendale WWRP; Monthly SMR ( MONNPDES ) report for January 2023;34,1372;-118,27422;Los Angeles River
