Data,vazao_mgd_TDS,vazao_mgd_Chloride,vazao_mgd_Ammonia,vazao_mgd_BOD
2015-01-31,11.2349770329509,11.234696453363624,,
2015-02-28,11.636131509300332,11.63607575478079,,
2015-03-31,13.441843210514461,13.44183394543107,,
2015-04-30,7.824249075316018,7.82449040767386,,7.9936051159072745
2015-05-31,7.8243065924618795,7.824438123919469,,
2015-06-30,10.23186038325303,10.231814548361312,,
2015-07-31,7.724030565757184,7.7240026160889474,,
2015-08-31,9.730286359147975,9.729993782751578,,
2015-09-30,9.028045855998128,9.02833288924416,,
2015-10-31,13.040500242293213,13.040678568256507,,
2015-11-30,10.03119163655251,10.031484015241794,,
2015-12-31,9.228697444054806,9.228549363898711,,
2016-01-31,13.241082526648837,13.241157074340526,,
2016-02-29,12.53905966136182,12.538653287895999,,
2016-03-31,9.930781136863363,9.930552667692437,,10.391686650679457
2016-04-30,8.626782784298877,8.62659270174222,,
2016-05-31,6.620503597122302,7.022056773186102,,7.9936051159072745
2016-06-30,8.125281247685937,8.125351570595376,,
2016-07-31,6.821175970615913,6.82089059291489,,
2016-08-31,7.523359550701408,7.523249692928584,,
2016-09-30,8.426236110348363,8.426054187705736,,
2016-10-31,8.626774672806743,8.62667009249743,,
2016-11-30,11.435581611831358,11.435851318944845,,
2016-12-31,11.836734086676069,9.629842138559091,,
2017-01-31,13.542023524037912,13.54245795909856,,
2017-02-28,11.435566993559624,11.435679042972518,,
2017-03-31,11.335154750100212,11.335082877094552,,
2017-04-30,8.827460324733844,8.827266544972977,,
2017-05-31,5.717813808654569,5.717792629801484,5.713076597545493,
2017-06-30,6.821229946134277,6.82120969890754,6.82286029583413,
2017-07-31,6.018778197780758,6.0188691152341285,6.018486181928244,
2017-08-31,6.921529022838512,6.921079677611294,6.924190377427786,
2017-09-30,7.122046265426683,7.122140125737248,7.120833945088827,
2017-10-31,9.32897976920477,9.328874928226433,9.330240725452425,
2017-11-30,11.435520353433343,11.492805755395683,11.434888786218732,
2017-12-31,10.131493467433412,10.13189448441247,10.232909562760751,9.992006394884093
2018-01-31,9.730253771666211,9.730422558504921,9.731239398724924,
2018-02-28,9.629965930168487,9.62974843055492,9.6270809439405,
2018-03-31,11.836735430932363,11.836488256203546,11.84052757793765,
2018-04-30,11.43553242512373,11.43514718426601,11.435749359695915,
2018-05-31,10.332044923067757,10.332423716199454,10.333134766072494,
2018-06-30,9.429326954084654,9.429542458748234,9.427751916114168,
2018-07-31,9.93093682948378,9.930563012276746,9.931677299669698,
2018-08-31,7.322830260381858,7.322868977545237,7.325232251173851,
2018-09-30,7.523399562898159,7.523581135091926,7.527890730893547,7.194244604316546
2018-10-31,8.626765254463097,8.62674099131291,8.626726937034444,
2018-11-30,10.23181454836131,10.231564748201437,10.232354656815088,
2018-12-31,13.542107490478205,13.542198499265103,13.544427615802094,
2019-01-31,12.338334460636618,12.338287264924901,12.336439573173676,
2019-02-28,15.24731135337129,15.247801758593125,15.251798561151078,
2019-03-31,12.137759671780648,12.137413356985645,12.13680218615805,11.590727418065548
2019-04-30,11.134677163929235,11.134921849754239,11.132993046903259,8.393285371702637
2019-05-31,9.228691812904817,9.228450572875033,9.229188078108942,
2019-06-30,9.930947749943368,9.930778781230334,9.933516601353064,8.792965627498003
2019-07-31,7.423115561604771,7.423394617639222,7.425877479834314,
2019-08-31,6.419995582481383,6.420318290821888,6.4223621103117505,
2019-09-30,8.325912559854396,8.325894029302106,8.324374982772403,
2019-10-31,9.12834949431759,9.128016735547732,9.13047339905853,
2019-11-30,8.72719300287925,8.727048212176529,8.725452070775813,
2019-12-31,12.438647213070665,12.43871145122119,12.442220136933932,
