Data,TDS_mgL,carga_lb_dia,vazao_mgd_TDS,vazao_mgd_chloride,t_anos,tds_previsto_vazao_chloride,tds_previsto_vazao_tds
2013-08-31,706,44298,7.523386390038111,7.523072451130006,2.5051334702258727,706.0294614827336,706.0000000000001
2013-09-30,716,46722,7.824243398577228,7.8245096230707745,2.5872689938398357,715.9756385068762,716.0
2013-10-31,702,55206,9.429379573264464,9.429542458748234,2.6721423682409307,701.9878736842105,702.0
2013-11-30,718,55262,9.22860597316019,9.228590282136706,2.754277891854894,718.0012207882805,718.0
2013-12-31,688,75977,13.24120935809492,13.241512053515082,2.839151266255989,687.9842726081258,688.0
2014-01-31,696,62886,10.833746795666912,10.833333333333334,2.924024640657084,696.0265633646928,696.0000000000002
2014-02-28,676,63341,11.234976515828755,11.234933621730066,3.0006844626967832,676.0025809151787,676.0000000000001
2014-03-31,588,72804,14.846082317819214,14.846043165467623,3.0855578370978782,588.001550688118,588.0
2014-04-30,742,74491,12.03743204896999,12.037293242329214,3.167693360711841,742.0085562863163,741.9999999999999
2014-05-31,748,54443,8.727189371497454,8.727072396137144,3.252566735112936,748.010025993316,748.0
2014-06-30,792,52344,7.924569435360802,7.924311438423226,3.3347022587268995,792.0257856567284,792.0000000000001
2014-07-31,750,45176,7.222382094324541,7.222146810853203,3.4195756331279945,750.0244335386866,750.0
2014-08-31,752,47813,7.623635134445634,7.623774398202957,3.5044490075290895,751.9862631893291,752.0000000000001
2014-09-30,734,55880,9.128392109200924,9.128252953193002,3.586584531143053,734.0111894916079,733.9999999999999
2014-10-31,804,58518,8.727048212176529,8.727418065547562,3.671457905544148,803.9659278256091,803.9999999999998
2014-11-30,692,70050,12.137688692976257,12.137672412405646,3.753593429158111,692.0009281973082,691.9999999999999
2014-12-31,770,74725,11.636145628951384,11.63600764957654,3.838466803559206,770.0091306332748,770.0
2015-01-31,686,64278,11.2349770329509,11.234696453363624,3.923340177960301,686.0171324252213,685.9999999999999
2015-02-28,772,74919,11.636131509300332,11.63607575478079,4.0,772.0036990554198,772.0
2015-03-31,724,81164,13.44184321051446,13.44183394543107,4.084873374401095,724.0004990331232,724.0000000000001
