Data,TDS_mgL,t_anos,doy,vazao_mgd_TDS,vazao_mgd_Chloride,wrtds_fitted_log,wrtds_flow_normalized_log,wrtds_fitted_mgL,wrtds_flow_normalized_mgL,n_efetivo_peso
2014-06-30,792,3.3347022587268995,181,7.924569435360802,7.924311438423226,6.57653145105067,6.54232313803026,718.0444326525326,693.8967248862976,49.225924990942474
2014-07-31,750,3.4195756331279945,212,7.222382094324541,7.222146810853203,6.586417206106452,6.528442475790166,725.1780465164163,684.3315181000637,48.90698706107885
2014-08-31,752,3.5044490075290895,243,7.623635134445634,7.623774398202957,6.567634039161971,6.522662511818775,711.6840330876568,680.3875156570616,49.25564253042034
2014-09-30,734,3.586584531143053,273,9.128392109200924,9.128252953193002,6.531494644197323,6.533425308244974,686.4234039095669,687.7499370298123,49.8197391566332
2014-10-31,804,3.671457905544148,304,8.727048212176529,8.727418065547562,6.571039276053113,6.560736811596334,714.1116167148435,706.7922755315898,49.989439818117155
2014-11-30,692,3.753593429158111,334,12.137688692976257,12.137672412405646,6.50702456933825,6.591884990878102,669.8304156241279,729.1540239847179,50.55976319328234
2014-12-31,770,3.838466803559206,365,11.636145628951384,11.63600764957654,6.5356685345074075,6.610024676771825,689.2944474460359,742.5013410267268,51.42420683634662
2015-01-31,686,3.923340177960301,31,11.2349770329509,11.234696453363624,6.547949237153542,6.612848281389319,697.8116592195291,744.6008339157597,52.05428812637443
2015-02-28,772,4.0,59,11.636131509300332,11.63607575478079,6.526776975800388,6.599236380415576,683.1927125672087,734.5340704269763,52.470849992970024
2015-03-31,724,4.084873374401095,90,13.44184321051446,13.44183394543107,6.476092572491967,6.583797588130297,649.4283877278494,723.2808431288453,52.3006864163865
2015-04-30,826,4.167008898015058,120,7.824249075316018,7.82449040767386,6.608010537809575,6.571615328309115,741.0073452088992,714.5231008294874,52.18741932012965
2015-05-31,848,4.251882272416153,151,7.824306592461879,7.824438123919469,6.59574672877664,6.560407004947143,731.9752696625823,706.5592091750525,52.693530528681165
2015-06-30,872,4.334017796030117,181,10.23186038325303,10.231814548361312,6.516951184818857,6.546537100051312,676.512675839976,696.8269489217864,53.37862030480824
2015-07-31,858,4.418891170431212,212,7.724030565757184,7.7240026160889474,6.571293024987065,6.533660395049632,714.292844768548,687.9116369709293,53.081334782442816
2015-08-31,850,4.503764544832307,243,9.730286359147977,9.729993782751578,6.511802442246587,6.528750877514854,673.0384378786846,684.5425996677913,53.41376187078286
2015-09-30,820,4.58590006844627,273,9.028045855998128,9.02833288924416,6.5396982789711675,6.538820431944217,692.0777321261054,691.4704603314071,53.49140599417234
2015-10-31,772,4.670773442847365,304,13.040500242293213,13.040678568256508,6.474916932931741,6.561397325672745,648.6653426445813,707.2592759918878,52.73875221394228
2015-11-30,868,4.7529089664613275,334,10.03119163655251,10.031484015241794,6.55990648755978,6.5839967415758185,706.2056524936733,723.424901345203,54.170177447143296
2015-12-31,796,4.837782340862423,365,9.228697444054806,9.228549363898711,6.5919694488525415,6.596463048180345,729.2156094572939,732.4997855893137,54.38065092634956
2016-01-31,764,4.922655715263518,31,13.241082526648835,13.241157074340526,6.499790840000675,6.599652683745382,665.0025265691056,734.8399230656698,54.53282181809221
2016-02-29,660,5.002053388090349,60,12.53905966136182,12.538653287896,6.506277779618799,6.589467421025621,669.3303798899759,727.3933723052601,54.87862721179022
2016-03-31,722,5.086926762491444,91,9.930781136863365,9.930552667692435,6.5560261931530315,6.57740596789047,703.4706763382657,718.6726492535728,55.20899253294699
2016-04-30,836,5.169062286105407,121,8.626782784298877,8.62659270174222,6.580569263701226,6.570055837846027,720.9496229061701,713.4096772804454,55.006476242337904
2016-05-31,800,5.253935660506502,152,6.620503597122302,7.022056773186102,6.624321304968311,6.5624836932679225,753.1928507991079,708.0280370536595,53.358084509230736
2016-06-30,842,5.336071184120465,182,8.125281247685937,8.125351570595376,6.573191769119209,6.552307295429128,715.6503925262484,700.859399386694,55.04246105598032
2016-07-31,790,5.420944558521561,213,6.821175970615913,6.82089059291489,6.595671848251068,6.544097641038381,731.9204610217597,695.1291398505729,54.34940030773361
2016-08-31,772,5.505817932922656,244,7.523359550701408,7.523249692928584,6.573744277894705,6.540740697384207,716.0459049002739,692.7995428463588,54.876523548143254
2016-09-30,786,5.587953456536619,274,8.426236110348363,8.426054187705736,6.560597751475418,6.548119955677484,706.6939957458502,697.9307987653547,55.158320730687336
2016-10-31,778,5.672826830937714,305,8.626774672806743,8.62667009249743,6.571570721301,6.563321695412035,714.491228802593,708.6216147417533,55.29983589969158
2016-11-30,778,5.754962354551677,335,11.435581611831358,11.435851318944843,6.5366933728776315,6.577970462489365,690.0012249486525,719.0784506080105,55.394683989376674
2016-12-31,806,5.839835728952772,366,11.836734086676069,9.629842138559091,6.533009500513202,6.584519116052901,687.4640247348607,723.8028987692594,55.70406837833521
2017-01-31,756,5.924709103353867,31,13.542023524037912,13.54245795909856,6.500592291969835,6.586429629927127,665.5357077845487,725.1870560543902,55.326704935156584
2017-02-28,738,6.0013689253935665,59,11.435566993559624,11.435679042972518,6.530700219486929,6.5799074533725435,685.8783087429107,720.4726488498588,55.93963906647289
2017-03-31,682,6.0862422997946615,90,11.335154750100212,11.335082877094552,6.529312504124882,6.573055747692816,684.9271649884128,715.5530553591788,55.73544189306014
2017-04-30,628,6.168377823408624,120,8.827460324733844,8.827266544972977,6.5733271609842525,6.568800000312027,715.7472923271862,712.5143129643305,55.69181799230674
2017-05-31,670,6.253251197809719,151,5.717813808654569,5.717792629801484,6.636449725691997,6.565831712958705,762.3835120218588,710.4025015222451,52.26123531990778
2017-06-30,658,6.335386721423682,181,6.821229946134277,6.82120969890754,6.601572851715289,6.560435873967343,736.2522947103902,706.579607141568,54.744869084169146
