metodo,tendencia_mgL_ano,tendencia_pvalor,rmse_holdout,mae_holdout,mase_holdout,smape_holdout,cv_mase_media,r2_holdout,forecast_10y,ci90_low_10y,ci90_high_10y,forecast_15y,ci90_low_15y,ci90_high_15y,forecast_20y,ci90_low_20y,ci90_high_20y,finalista
ols,3.743706712541596,0.0047251492457397,49.235822255660125,39.36769151182839,0.5165992235059271,5.567229145005409,0.981302863739217,-0.5419882757075303,760.7647406072451,627.1167916248435,894.4126895896468,779.4832741699531,642.3706026449815,916.5959456949248,798.2018077326611,656.879301429617,939.5243140357052,False
prophet,3.810618354338844,9.970103554706726e-12,48.9656650729859,40.47328315358417,0.5311072569138315,5.791175955976819,1.238442396707371,-0.5251129071959277,636.8874689536251,491.8876575078269,780.0459027297735,625.8728731208196,417.4362948907904,835.1972397659407,604.8189667747031,306.03820948407486,879.2136477860873,False
theil_sen,3.9064171122994646,0.0055862715899367,51.05220800620712,40.72342995169081,0.5343897872503018,5.7509343659316885,1.0825797287529493,-0.6578595729030075,767.5187165775401,711.9430456526045,822.6577689064991,787.0508021390374,720.3979067637156,853.1800530290617,806.5828877005347,728.8527678748267,883.7023371516244,False
mann_kendall_sen,3.9064171122994646,0.0056071867536127,51.05220800620712,40.72342995169081,0.5343897872503018,5.7509343659316885,1.0825797287529493,-0.6578595729030075,767.5187165775401,711.9430456526045,822.677611304262,787.0508021390374,720.3979067637156,853.2038503713173,806.5828877005347,728.8527678748267,883.7300894383727,False
random_forest,-0.2483083733615092,0.0504544319327501,40.985827074196536,34.0943431872343,0.5502189005769713,5.929922021710202,0.8390858522613186,-0.0685284452350911,704.347353627575,665.5400000000001,742.6990347490347,704.347353627575,665.5400000000001,742.6990347490347,704.347353627575,665.5400000000001,742.6990347490347,False
ets_holt_winters,7.927106319763425,0.0,53.370693909046494,45.03424921828832,0.5909581508062283,6.47186487855948,0.957720938007953,-0.8118589268627552,787.9546840217345,377.2462922952806,1198.6630757481882,827.5902156205516,325.9900562936344,1329.1903749474689,867.2257472193687,287.9957836248724,1446.4557108138652,False
theta,1.871808474108993,0.0,55.24094454169577,46.93132743497921,0.6158524002792527,6.755022370706651,0.8318761590579593,-0.941068549120976,726.8748471511964,-334.6612971781823,1788.410991480575,736.2338895217414,-564.3122978362711,2036.7800768797536,745.5929318922864,-756.3996730113603,2247.585536795933,False
lightgbm,-0.5093268206681416,0.1352117374095247,44.41850483257356,37.69863787304582,0.6282402150170388,6.744753112151557,0.7308917341392676,-0.25500816892097,703.5298657430666,631.6232472642373,770.9677707726271,703.5298657430666,631.6232472642373,770.9677707726271,703.5298657430666,631.6232472642373,770.9677707726271,False
lstm,6.837245399081004,2.2797928143412308e-05,71.5289015314502,57.20742675948566,0.686088420716862,7.386553288736207,0.7618871958495153,-2.2544813904692917,786.5105505283755,594.7571002921334,808.7465075153241,720.5242982701997,615.3339429357468,808.1047064049384,795.4101711777089,610.3755103890179,807.9992379295653,False
naive_sazonal,0.0,,87.83222643198793,71.08333333333333,0.9327850680088682,10.617944985915283,0.8729490147226174,-3.90711758391752,716.0,225.1075143485733,1206.8924856514268,716.0,114.781945793746,1317.218054206254,716.0,21.773189124712417,1410.2268108752876,False
gaussian_process,3.743706712541596,0.0047251492457397,146.50333314266578,139.71055229916354,2.033654490455339,24.69763430471777,1.1476231985472576,-12.652547380126476,691.5611054750101,248.251161571365,1134.8710493786552,691.7993897299407,248.46012490552263,1135.1386545543587,691.7994479590625,248.4601780556572,1135.1387178624675,False
